frame_number,x,y,width,height,status,fps
266,112,86,69,135,TRACKING,17.1917
267,113,86,69,135,TRACKING,19.5429
268,113,86,69,135,TRACKING,19.7846
269,112,86,69,135,TRACKING,19.8766
270,114,86,69,135,TRACKING,20.3522
271,113,86,69,135,TRACKING,18.735
272,114,85,69,135,TRACKING,16.2434
273,114,85,69,135,TRACKING,19.3571
274,114,85,69,135,TRACKING,17.953
275,114,85,69,135,TRACKING,19.0916
276,114,85,69,135,TRACKING,20.3816
277,114,85,69,135,TRACKING,19.8277
278,114,85,69,135,TRACKING,19.384
279,114,85,69,135,TRACKING,19.9714
280,115,85,69,135,TRACKING,19.4188
281,115,85,69,135,TRACKING,15.2175
282,115,85,69,135,TRACKING,18.5429
283,116,85,69,135,TRACKING,17.0495
284,115,85,69,135,TRACKING,17.9121
285,115,85,69,135,TRACKING,20.352
286,115,86,69,135,TRACKING,18.2444
287,116,85,69,135,TRACKING,20.3694
288,115,85,69,135,TRACKING,19.7689
289,115,85,69,135,TRACKING,19.9829
290,116,85,69,135,TRACKING,20.425
291,116,85,69,135,TRACKING,20.4794
292,116,85,69,135,TRACKING,20.4882
293,116,85,69,135,TRACKING,17.5907
294,117,85,69,135,TRACKING,18.8151
295,117,84,69,135,TRACKING,16.8591
296,117,85,69,135,TRACKING,19.078
297,117,85,69,135,TRACKING,17.9391
298,117,85,69,135,TRACKING,19.814
299,117,85,69,135,TRACKING,18.1135
300,117,85,69,135,TRACKING,20.3286
301,117,85,69,135,TRACKING,19.943
302,117,84,69,135,TRACKING,19.9946
303,117,84,69,135,TRACKING,18.2277
304,117,84,69,135,TRACKING,19.2647
305,116,85,69,135,TRACKING,19.8764
306,116,85,69,135,TRACKING,17.995
307,116,84,69,135,TRACKING,16.8938
308,116,84,69,135,TRACKING,18.1004
309,115,84,69,135,TRACKING,20.1688
310,116,83,69,135,TRACKING,18.7008
311,116,84,69,135,TRACKING,18.7754
312,116,83,69,135,TRACKING,17.2235
313,115,83,69,135,TRACKING,18.45
314,115,83,69,135,TRACKING,19.5203
315,115,83,69,135,TRACKING,18.4552
316,116,82,69,135,TRACKING,19.3006
317,116,81,69,135,TRACKING,20.5634
318,117,81,69,135,TRACKING,19.914
319,117,82,69,135,TRACKING,20.3359
